username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
Gretchen Freshour,gretchfresh,2018-08-06 20:51,2,44,"Thank you @SouthwestAir . My kiddo had a 9 hour flight home alone and your pilots took great care of her! It is why we only fly southwest! pic.twitter.com/N7qJHdXxXK",,@SouthwestAir,,"1026616861931319296",https://twitter.com/gretchfresh/status/1026616861931319296
Ken Dixon,The_KenDixon,2018-08-06 20:25,0,27,"I FLEW @SouthwestAir THIS WEEKEND AND HAD ZERO PROBLEMS Oh wait... I was supposed to complain about my experience. Damnit...",,@SouthwestAir,,"1026610166819696640",https://twitter.com/The_KenDixon/status/1026610166819696640
Gee Scott KIRO FM 🎙,TheGeeScott,2018-08-06 18:39,12,247,". @SouthwestAir , I was on a 5:55am flight this morning (Flight 2365) from Chicago to Seattle, and I just have to let u know that your flight attendant Jeanna was the absolute best. There were 5 unaccompanied minors that she was amazing to. Our world need more Jeannas. pic.twitter.com/Bb08wpZbxa",,@SouthwestAir,,"1026583658583318528",https://twitter.com/TheGeeScott/status/1026583658583318528
Bebo,BoldBebo,2018-08-06 18:15,1,23,"Making sure @SouthwestAir knows that my computer is fragile and gate checking them since they broke my 27” iMac on the way to #GenCon . pic.twitter.com/63qVMebw3w",,@SouthwestAir,#GenCon,"1026577487634067457",https://twitter.com/BoldBebo/status/1026577487634067457
Justin sutherland,J_Sutherland66,2018-08-06 17:39,1,76,"I just took a shot of tequila while the crew and passengers of a @SouthwestAir flight sang me happy birthday for my 21st",,@SouthwestAir,,"1026568492986728448",https://twitter.com/J_Sutherland66/status/1026568492986728448
Jon Youngblood,coachblood,2018-08-06 16:56,1,17,"Proud Dad, our son Clay @ClayYoungblood finished his Masters in Finance from @UT_Dallas last week and started working @SouthwestAir July 9th.",,@ClayYoungblood @UT_Dallas @SouthwestAir,,"1026557640632152065",https://twitter.com/coachblood/status/1026557640632152065
Brooke Henry,bbeckner8,2018-08-06 16:16,0,25,"Thanks @SouthwestAir for the onesie and blanket for our daughter Hallie. She can’t wait to fly with you again @mohenry24 #Southwest #firstflight pic.twitter.com/sE6g4psI5G",,@SouthwestAir @mohenry24,#Southwest #firstflight,"1026547520963411968",https://twitter.com/bbeckner8/status/1026547520963411968
bow knee knee,molly_bonini,2018-08-06 15:54,4,50,"LISTEN UP!! @SouthwestAir will NEVER disappoint me.EVER. my flight was canceled & they helped me get a new for free & now I’m getting home an hour EARLY. AMAZING! and you always get TWO FREE CHECKED BAGS!! y’all stupid if you’re not flying southwest. thx for coming to my ted talk",,@SouthwestAir,,"1026541937036124160",https://twitter.com/molly_bonini/status/1026541937036124160
Texas 4000,Texas4000,2018-08-06 14:26,14,62,"#t4k2018 crossed the #Alaska border! TY to sponsors who supported the journey #EOGResources @HilcorpAlaska @Plantronics @HEB @browndist @KINDSnacks @PickleJuice2001 @nuunhydration @HomePlatePB @BicycleWorldTx @BrainCheck @ChamoisButtr @howyoubean @SouthwestAir @tarkarestaurant pic.twitter.com/5htUheIieM",,@HilcorpAlaska @Plantronics @HEB @browndist @KINDSnacks @PickleJuice2001 @nuunhydration @HomePlatePB @BicycleWorldTx @BrainCheck @ChamoisButtr @howyoubean @SouthwestAir @tarkarestaurant,#t4k2018 #Alaska #EOGResources,"1026519904697155589",https://twitter.com/Texas4000/status/1026519904697155589
Mara Zepeda,marazepeda,2018-08-06 13:12,7,38,"We've taken to the skies! Fun to see @switchboardHQ featured in @SouthwestAir (thanks for the snap, @JuliaJRH !) pic.twitter.com/t5BjyKWpg0",,@switchboardHQ @SouthwestAir @JuliaJRH,,"1026501341005275139",https://twitter.com/marazepeda/status/1026501341005275139
The River City News,theRCnews,2018-08-06 08:33,2,6,". @SouthwestAir to launch new direct flight from @CVGairport to Denver http://www. rcnky.com/articles/2018/ 08/06/southwest-kick-direct-service-cvg-airport-denver …",,@SouthwestAir @CVGairport,,"1026431126351630341",https://twitter.com/theRCnews/status/1026431126351630341
Lowell Melser,MelserWBAL,2018-08-05 23:29,1,64,"Fun popping bubbles on the plane to keep busy. Sorry @SouthwestAir for the occasional screams. But you have to admit she’s pretty cute. Lol pic.twitter.com/A2jiS9UouE",,@SouthwestAir,,"1026294246020718592",https://twitter.com/MelserWBAL/status/1026294246020718592
Joe Skovron,skovy14,2018-08-05 22:00,3,30,"Looks like quite of few caddies and a few players found the same @SouthwestAir charter to St Louis as me @sampinna",,@SouthwestAir @sampinna,,"1026271735300206594",https://twitter.com/skovy14/status/1026271735300206594
Kristin Franke,kristin_franke,2018-08-05 20:53,3,57,"@SouthwestAir free tv @USAUltimate women’s finals on @espn Great flight entertainment. pic.twitter.com/QFAXyCEiqS",,@SouthwestAir @USAUltimate @espn,,"1026254979089215489",https://twitter.com/kristin_franke/status/1026254979089215489
NashvilleGab,nashvillegab,2018-08-05 20:45,14,22,"As part of his partnership with @Chase and @SouthwestAir , @bretteldredge recently surprised a fan who survived the Las Vegas shooting. http:// nashvillegab.com/2018/08/brett- eldredge-surprises-route-91-survivor.html …",,@Chase @SouthwestAir @bretteldredge,,"1026252821178580992",https://twitter.com/nashvillegab/status/1026252821178580992
Momma, Mom & Mommy,itz_mizdee,2018-08-05 20:37,0,33,"Aaliyah & I got first class on @SouthwestAir pic.twitter.com/RQ45feiu9s",,@SouthwestAir,,"1026250820441055233",https://twitter.com/itz_mizdee/status/1026250820441055233
Cesar Moreno Perez,profe_c,2018-08-05 19:28,2,7,"Back in San Juan, #PuertoRico for the @LCLAA Labor Council for Latin American Advancement (LCLAA) Nat’l E-board & 22nd Membership Convention. Thank you @SouthwestAir Airlines for getting me to my destination safely & for supporting such a great organization. A-list member! pic.twitter.com/Nmibo3vDN6",,@LCLAA @SouthwestAir,#PuertoRico,"1026233484065615873",https://twitter.com/profe_c/status/1026233484065615873
gary leff,garyleff,2018-08-05 18:40,1,16,"My @southwestair pilot apologized that turbulence precluded service on my flight but promises that if we drop his name - @gary_kelly - on our next flight we'll get a make-good.",,@southwestair @gary_kelly,,"1026221420420968450",https://twitter.com/garyleff/status/1026221420420968450
Brenda Rivas,Brenda_RivasG,2018-08-05 00:49,4,5,"Reminder #writers : Application deadline for @NHMC TV Writers Program is August 5th! Paid program with no application fees! Apply before it’s too late! Program supported and sponsored by @disneyabcctdi @NBCUdiversity @SouthwestAir @finaldraftinc #latinx #RepresentationMatters pic.twitter.com/s62ty7UKAs",,@NHMC @disneyabcctdi @NBCUdiversity @SouthwestAir @finaldraftinc,#writers #latinx #RepresentationMatters,"1025951809209167872",https://twitter.com/Brenda_RivasG/status/1025951809209167872
Anddrikk Frazier,Anddrikk,2018-08-05 00:22,2,25,"What a week! 6 Top-30 finished @AAUTrackNField JOs for Tampa Matrix. Thank you @SouthwestAir @HiltonHonors @Hertz @FlyTPA @FLSENTINELB & supporters for making this a memorable experience for our youths. See you next year in NC. @americanjazzkc @nlbmprez @skyzone @Drake_TFXC pic.twitter.com/z4uH61vVgz",,@AAUTrackNField @SouthwestAir @HiltonHonors @Hertz @FlyTPA @FLSENTINELB @americanjazzkc @nlbmprez @skyzone @Drake_TFXC,,"1025945229193445377",https://twitter.com/Anddrikk/status/1025945229193445377
Brandi Bain🌻,BrandiiBain,2018-08-06 20:58,0,9,"Currently on a @SouthwestAir flight home when one of the flight attendants announced it was another flight attendants birthday. The entire plane sang to him. I love kind people.",,@SouthwestAir,,"1026618474213388288",https://twitter.com/BrandiiBain/status/1026618474213388288
Jennifer Deaton,jennifercdeaton,2018-08-06 19:56,4,8,"@SouthwestAir here are our boys!! Southwest Airlines needs to be the official carrier of the back to back Southwest Champions!! https:// twitter.com/lufkinbaseball 1/status/1026499239797501953 …",,@SouthwestAir,,"1026602992248733696",https://twitter.com/jennifercdeaton/status/1026602992248733696
Jenn Henricksen,Jennhenricksen,2018-08-06 19:09,1,5,"Getting the run around from @SouthwestAir for nearly 3 Days now trying to rectify their mistake with my luggage #NotAHappyCustomer currently on a 50 minute hold for customer relations",,@SouthwestAir,#NotAHappyCustomer,"1026591062502985728",https://twitter.com/Jennhenricksen/status/1026591062502985728
Southwest Airlines,SouthwestAir,2018-08-06 18:42,0,13,"There's no doubt our Flight Attendants are some of the best in the business, Gee! We appreciate you taking the time to share your experience and we'll be sure to share your praise with Jeanna! -Jennifer",,,,"1026584442947530752",https://twitter.com/SouthwestAir/status/1026584442947530752
J from 3 Minute Board Games,3minboardgames,2018-08-06 17:57,1,6,"I have a theory though. 15 years of the TSA and airport travel law being akin to how you treat prisoners and not free citizens, creates a culture of "guards and prisoners" not "business and customers". That explains why they can break people and property and not feel shame.",,,,"1026573042359590912",https://twitter.com/3minboardgames/status/1026573042359590912
Linda Scruggs, RN,UnboxedMom,2018-08-06 15:29,1,8,"Dear @SouthwestAir , Thanks for getting us home safe and for a great flight. I think you should consider handing out cookies. Or cupcakes. Sincerely, This 7-year-old Rapid Rewards frequent flying girl #familytravel pic.twitter.com/F97dsUp4Hp",,@SouthwestAir,#familytravel,"1026535847972282370",https://twitter.com/UnboxedMom/status/1026535847972282370
Manchester-Boston,flymanchester,2018-08-06 14:37,1,7,"Early morning "shark" sighting at MHT! #flyMHT #flymanchesterNH #southwest #discoverychannel #sharkweek @SouthwestAir @Discovery pic.twitter.com/iD0ON3bLTj",,@SouthwestAir @Discovery,#flyMHT #flymanchesterNH #southwest #discoverychannel #sharkweek,"1026522753111863297",https://twitter.com/flymanchester/status/1026522753111863297
Stephanie Bice,stephaniebice,2018-08-06 14:01,1,10,". @SouthwestAir Captain Paul on the intercom “Thanks for helping me feed my kids and welcome aboard”. Haha. (Appreciated that he introduced himself to the passengers by doing his greeting on the front attendants intercom before leaving the gate. )",,@SouthwestAir,,"1026513512066109440",https://twitter.com/stephaniebice/status/1026513512066109440
Mitch Dengler,mgdmitch,2018-08-06 13:10,0,10,"Reason #842 to fly @SouthwestAir They would have said "Well it looks like I'm going to have to sever my right arm to get you on that flight, let me grab the bone saw, there's no time for novacaine."",,@SouthwestAir,#842,"1026500653957492737",https://twitter.com/mgdmitch/status/1026500653957492737
RMHC-UM,RMHC_UM,2018-08-06 13:05,1,5,"Huge props to @SouthwestAir 's Team MSP for participating in the Family Walk at this year's #RBCRacefortheKids ! We appreciate your support. https:// twitter.com/Brooke_Ashley8 6/status/1025795090734821377 …",,@SouthwestAir,#RBCRacefortheKids,"1026499400279969792",https://twitter.com/RMHC_UM/status/1026499400279969792
Jaime Santos,Jaime_ASantos,2018-08-06 11:50,2,5,"Great idea! BUT: Frequent flyer miles can be incredibly expensive to donate (almost as expensive as the tickets themselves). Would @AmericanAir , @united , @SouthwestAir , @JetBlue , @Delta , & @VirginAmerica agree to waive fees for donating miles for immigrant reunification efforts? https:// twitter.com/bethwilensky/s tatus/1026478893400842242 …",,@AmericanAir @united @SouthwestAir @JetBlue @Delta @VirginAmerica,,"1026480652819091456",https://twitter.com/Jaime_ASantos/status/1026480652819091456
Jordan Brock,JordanSBrock,2018-08-06 03:10,1,7,"To the entire staff of @SouthwestAir THANK YOU. You accommodated our giant service dog, changed our tickets, and made a bereavement flight not just bearable but friendly. Your flight and gate attendants are the best and Bucky wants to be a pilot if he ever grows thumbs. pic.twitter.com/bzMefH92s1",,@SouthwestAir,,"1026349811132452864",https://twitter.com/JordanSBrock/status/1026349811132452864
TheMrsH,SimplyAisling,2018-08-06 01:43,1,11,"I love hammy flight attendants who fake being mad that I almost threw away my In touch magazine and he keeps it for himself then sings an arrival song as we land and to top it off cheers "Go, Dallas Fuel!" @SouthwestAir never change (ONT-DAL crew)",,@SouthwestAir,,"1026327936792715264",https://twitter.com/SimplyAisling/status/1026327936792715264
John Vann, MD,Docsocksomaha,2018-08-06 00:34,6,14,"Thunderstorms from above Eastern Nebraska tonight. @weatherchannel @SouthwestAir @JimCantore pic.twitter.com/8BXeCgkVis",,@weatherchannel @SouthwestAir @JimCantore,,"1026310634277924865",https://twitter.com/Docsocksomaha/status/1026310634277924865
TiffanyDowellLashmet,TiffDowell,2018-08-05 23:50,0,14,"Thanks to @SouthwestAir for a great first flight for our Harper! #firstflight #traveler #toddlerlife pic.twitter.com/R8iA6m73Ep",,@SouthwestAir,#firstflight #traveler #toddlerlife,"1026299404628586497",https://twitter.com/TiffDowell/status/1026299404628586497
Lone Star Aviation Photography,LSAviationPhoto,2018-08-05 22:39,3,12,"Pretty excited to knock 2 more #SWA state planes off of my chase list. Great weather today at @DallasLoveField @SouthwestAir @BoeingAirplanes #avgeek #avgeeks #B737 #Texas . Can I please get a RT? pic.twitter.com/kl3fihwx7t",,@DallasLoveField @SouthwestAir @BoeingAirplanes,#SWA #avgeek #avgeeks #B737 #Texas,"1026281520389140481",https://twitter.com/LSAviationPhoto/status/1026281520389140481
Angela Sherrer,alegnada,2018-08-05 21:49,0,17,"Getting ready for tomorrow with my mind set on manuevering my work for our users like the @SouthwestAir pilots did for @photographerjon . #OneTeam #protectingusers #usersrock #healthfulconversations #keepingtheplatformsafe",,@SouthwestAir @photographerjon,#OneTeam #protectingusers #usersrock #healthfulconversations #keepingtheplatformsafe,"1026268935237160962",https://twitter.com/alegnada/status/1026268935237160962
Carol,FiredUpCarol,2018-08-05 16:20,1,14,"It was also @united that dragged that man off the plain because THEY overbooked the flight! I sure hope they had to pay him a lot of money! I agree @SouthwestAir is terrific! Also, no charge to change your tickets for a different flight!!",,@united @SouthwestAir,,"1026186129412956160",https://twitter.com/FiredUpCarol/status/1026186129412956160
FOX Sports Southwest,FOXSportsSW,2018-08-05 16:19,0,13,"Here is your @Rangers starting lineup, presented by @SouthwestAir . #TexasRangers pic.twitter.com/TItwrUURhg",,@Rangers @SouthwestAir,#TexasRangers,"1026186001499078656",https://twitter.com/FOXSportsSW/status/1026186001499078656
Leanna Crawford,crawford_leanna,2018-08-05 07:30,0,21,"I’m coming home until next time Texas @SouthwestAir pic.twitter.com/BjXmZ8ExCg",,@SouthwestAir,,"1026052707243749377",https://twitter.com/crawford_leanna/status/1026052707243749377
m  o  r  g  ×  n,morgxn,2018-08-05 06:45,1,9,"hi everyone. this is what it is like to travel with bags. we have all our documentation and arrive hours early to get to where we are going. and this is often what happens. i purposely didn’t film her face because this isn’t personal. but i hope @SouthwestAir speaks up https:// twitter.com/morgxn/status/ 1026040488892264449 …",,@SouthwestAir,,"1026041616283443201",https://twitter.com/morgxn/status/1026041616283443201
m  o  r  g  ×  n,morgxn,2018-08-05 06:34,0,14,". @SouthwestAir i get that it’s 4am. i get that we are a band that travels with 12+ bags. but we come prepared with all of our documents and a good attitude. and your gate agents always seem to be pissed at us and cause delays while THROWING our bags with complete disresepct.",,@SouthwestAir,,"1026038841214423040",https://twitter.com/morgxn/status/1026038841214423040
Medicaid Matthew, Esq. ⚖,mattbc,2018-08-04 22:00,1,11,"This is me standing here, waiting to be allowed to preboard by @SouthwestAir , they’re currently all dealing with the abusive abled asshole pic.twitter.com/1xBK3k7Vog",,@SouthwestAir,,"1025909362525655040",https://twitter.com/mattbc/status/1025909362525655040
Medicaid Matthew, Esq. ⚖,mattbc,2018-08-04 21:58,1,7,"When the gate agent had replied, and I started to walk away, he tried to confront me again. One of the @SouthwestAir employees had to intervene.",,@SouthwestAir,,"1025908958547075072",https://twitter.com/mattbc/status/1025908958547075072
Jon Carmichael,photographerjon,2018-08-04 21:06,4,292,"Wow. Thank you @SouthwestAir for inviting me into the cockpit and introducing me to everyone! pic.twitter.com/4jJmYIBKqZ",,@SouthwestAir,,"1025895888772837378",https://twitter.com/photographerjon/status/1025895888772837378
FOX Sports Southwest,FOXSportsSW,2018-08-04 21:00,2,12,"Take a look at the @Rangers lineup presented by the good folks at @SouthwestAir . #SouthwestAIrlines | #TexasRangers pic.twitter.com/pqBR972u18",,@Rangers @SouthwestAir,#SouthwestAIrlines #TexasRangers,"1025894314101141504",https://twitter.com/FOXSportsSW/status/1025894314101141504
Kate Johns,kjon,2018-08-04 20:48,2,5,"Hey @SouthwestAir ? I have never had a problem with you before but delaying my flight (STL -> MKE) with no explanation 3 times today is not acceptable and very disappointing. I was supposed to arrive at 4pm and now I’m arriving after 10pm. Get it together!",,@SouthwestAir,,"1025891354478620672",https://twitter.com/kjon/status/1025891354478620672
Rob Quillen,_RobQuillen,2018-08-04 19:08,0,12,"So...I forgot to check into my 6:50 AM flight on @SouthwestAir from Omaha to Phoenix in the morning. As a result, I am C4 for seat assignment. So if you are on this flight in the morning, I’ll meet you in the middle. #newfriends",,@SouthwestAir,#newfriends,"1025866029258428418",https://twitter.com/_RobQuillen/status/1025866029258428418
doodlebob,iceclownicetown,2018-08-04 17:34,0,13,"Wow I really love @SouthwestAir . They hooked me up with a whole new suitcase!!",,@SouthwestAir,,"1025842478400720896",https://twitter.com/iceclownicetown/status/1025842478400720896
Waterloo Revival,waterloorevival,2018-08-04 16:52,0,21,"Gotta love @SouthwestAir pic.twitter.com/z9PhY8IPaU",,@SouthwestAir,,"1025831747559157761",https://twitter.com/waterloorevival/status/1025831747559157761
FlyingandLife,FlyingandLife,2018-08-04 16:43,0,22,"Sometimes when you #nonrev travel your plans get foiled by flights filling up. That happened to my wife today on my airline, flights got full so thankfully @SouthwestAir has seats open. Thanks SWA for hopefully getting my family home. ZED fare to the rescue! pic.twitter.com/bd2y9aHmcP",,@SouthwestAir,#nonrev,"1025829584653217792",https://twitter.com/FlyingandLife/status/1025829584653217792
Airlines for America,AirlinesDotOrg,2018-08-04 15:54,2,7,"We never get tired of the landing view at @fly2midway @SouthwestAir pic.twitter.com/uMOh5GZf1V",,@fly2midway @SouthwestAir,,"1025817150160859136",https://twitter.com/AirlinesDotOrg/status/1025817150160859136
CVG Airport,CVGairport,2018-08-04 14:10,3,9,"Have you booked your flight to @DENAirport on @SouthwestAir yet? We're only days until the inaugural flight! #CVGnext #Denver #Southwest pic.twitter.com/PvWdOw8dOu",,@DENAirport @SouthwestAir,#CVGnext #Denver #Southwest,"1025790971110293506",https://twitter.com/CVGairport/status/1025790971110293506
Trina Orlando,TrinaOrlando,2018-08-04 13:28,0,23,"Arabella’s first flight! And somehow the ONE empty seat on the entire plane was in our row... I wonder if it had anything to do with me changing diapers on it during boarding? @SouthwestAir #ArabellaB #BabyBrooks #firstflight #MDW #FLL #Southwest #bestairline pic.twitter.com/l45Yz6hA3S",,@SouthwestAir,#ArabellaB #BabyBrooks #firstflight #MDW #FLL #Southwest #bestairline,"1025780478673072129",https://twitter.com/TrinaOrlando/status/1025780478673072129
Vicki Arkoff,VickiArkoff,2018-08-04 10:32,2,6,"5 a.m. airport drop off = good karma. @flyLAXairport @SouthwestAir pic.twitter.com/twj0gUE3E9 – at Los Angeles international Airport Terminal 5",,@flyLAXairport @SouthwestAir,,"1025736177192554496",https://twitter.com/VickiArkoff/status/1025736177192554496
WorldTravelAdv,WorldTravelBAT,2018-08-04 08:56,4,15,"Today’s bird for our family #CostaRica vacation @SouthwestAir #PuraVida #BWI #LIR pic.twitter.com/MgVKdUHr9Z – at BWI Southwest Airlines",,@SouthwestAir,#CostaRica #PuraVida #BWI #LIR,"1025711954877407232",https://twitter.com/WorldTravelBAT/status/1025711954877407232
Betsy Langmade,BetsyLangmade,2018-08-03 23:04,0,9,"Many thanks to gate agents @SouthwestAir in Seattle for thinking ahead and rebooking me today for earlier arrival home. Such a treat after 9 days away.",,@SouthwestAir,,"1025563085246029824",https://twitter.com/BetsyLangmade/status/1025563085246029824
Sarah Kendzior,sarahkendzior,2018-08-03 22:01,3,49,"My sympathies. @SouthwestAir did the same to me and so many others. An absolute disaster. And yes, I'd never seen anything like it after a lifetime of flying.",,@SouthwestAir,,"1025547192558387202",https://twitter.com/sarahkendzior/status/1025547192558387202
Beth Taylor,notbetty2,2018-08-03 20:20,0,12,"Ugh. @SouthwestAir has been super helpful for our family for years now...Navy son, has lived so many inconvenient places, we have to fly all over to see him and plans change all the time. They always help us make it work. Sorry this happened to you, what a bummer.",,@SouthwestAir,,"1025521730868195328",https://twitter.com/notbetty2/status/1025521730868195328
anne boleyn 👑✨,merrilymaralie,2018-08-03 14:58,0,17,"apparently @SouthwestAir saw this tweet because they were kind enough to cancel my flight lmao",,@SouthwestAir,,"1025440751159787521",https://twitter.com/merrilymaralie/status/1025440751159787521
John Scalzi,scalzi,2018-08-03 14:31,1,59,"Midway. The RC Cola of airports.",,,,"1025434032782434304",https://twitter.com/scalzi/status/1025434032782434304
Peter Sagal,petersagal,2018-08-03 14:31,18,512,"Spending another wonderful day at MDW airport, thanks to the kindness of @SouthwestAir , who didn’t want me to miss out by flying me anywhere else.",,@SouthwestAir,,"1025433906948890624",https://twitter.com/petersagal/status/1025433906948890624
Mike Olbinski,MikeOlbinski,2018-08-03 13:54,67,264,"Another shot of the haboob last night as it swallowed downtown Tempe, with a @SouthwestAir flight doing its best to land quickly! Time-lapse from here looks pretty awesome, couple of nice ones yesterday! #azwx #stormhour pic.twitter.com/Rtrtk7iBRv",,@SouthwestAir,#azwx #stormhour,"1025424578598731776",https://twitter.com/MikeOlbinski/status/1025424578598731776
Sarah Kendzior,sarahkendzior,2018-08-03 13:00,0,26,"There is no rebooking to accept. Or refund. Or explanation. And those are basic things they should offer. That is my point and I'm not alone in making it; Southwest is having serious problems today with mass cancelations unrelated to weather.",,,,"1025410977003708416",https://twitter.com/sarahkendzior/status/1025410977003708416
Sarah Kendzior,sarahkendzior,2018-08-03 11:51,1,39,"Thanks, and sorry to hear you went through the same thing!",,,,"1025393611456872448",https://twitter.com/sarahkendzior/status/1025393611456872448
Sarah Kendzior,sarahkendzior,2018-08-03 11:42,16,43,"Can you tell us why @SouthwestAir canceled their flights to BWI since conditions are indeed normal? I saw others asked you this yesterday and it seems the problem has continued after Southwest's emergency landing. Southwest won't tell us what's actually happening. Thank you!",,@SouthwestAir,,"1025391497464700931",https://twitter.com/sarahkendzior/status/1025391497464700931
Mike Stitzer,mikestitzer,2018-08-03 11:25,10,66,"Sorry you had travel trouble too! Here was the scene from PHX at 1am. Hundreds in line for 2 hours. No hotel accommodations or even breakfast/drink vouchers. Flyover Country was a great read, and thanks for all your hard work. Safe travels! pic.twitter.com/YkNmoPaRmM",,,,"1025387132657917953",https://twitter.com/mikestitzer/status/1025387132657917953
Diane Feeney,DianeFeeney330,2018-08-03 11:11,1,36,"Running out of airlines to fly.",,,,"1025383684260720643",https://twitter.com/DianeFeeney330/status/1025383684260720643
shaun o'sullivan,shaunosullivan,2018-08-03 10:16,3,63,"I would argue that a “high speed landing” isn’t worthy of a “nearly crashed” description. It can be intense as it’s outside normal procedures and unnerving. Happened to me in LAS once. I hope you get what you feel you deserve. SWA is great and looks like they dropped it this time",,,,"1025369885503713280",https://twitter.com/shaunosullivan/status/1025369885503713280
Sarah Kendzior,sarahkendzior,2018-08-03 09:53,10,38,"This: https:// baltimore.cbslocal.com/2018/08/01/sou thwest-emergency-landing-bwi/ …",,,,"1025364106537254912",https://twitter.com/sarahkendzior/status/1025364106537254912
Sarah Kendzior,sarahkendzior,2018-08-03 09:53,6,133,"My kids have never been on a plane. They were *so* excited. They were going to see family members they'd never met, one of whom is very old. I'm trying to get them there on another airline. It's awful",,,,"1025364006876393473",https://twitter.com/sarahkendzior/status/1025364006876393473
Emily Koch,emmyloured,2018-08-03 09:47,2,24,"Ronald Reagan's deregulation of the airline industry has proven the strength of pure capitalism to improve an industry. (Sarcasm emoji)",,,,"1025362526480072705",https://twitter.com/emmyloured/status/1025362526480072705
Sarah Kendzior,sarahkendzior,2018-08-03 09:46,6,48,"I have never had anything like this happen to me until this year, and I fly constantly (and I'm old so this is a lot of flights!) It also happened with Jet Blue three months ago.",,,,"1025362385295552514",https://twitter.com/sarahkendzior/status/1025362385295552514
Becky L,HOORAL91,2018-08-03 09:40,1,31,"I'm sorry! This seems to be a new norm. Happened to me & my child in June w/Frontier. Just cx'ed w/no attempt to rebook. However, we did get refund & vouchers. While that helped, they did ruin the vacation we planned months before - never got there.",,,,"1025360882291957762",https://twitter.com/HOORAL91/status/1025360882291957762
Bruce Feldman,BruceRFeldman,2018-08-03 09:40,1,18,"Sadly, you could substitute any other carrier for @SouthwestAir and you would still be right. Been there too many times. Advice: do not write an 8-page letter detailing multiple, avoidable failings to their CEO (as I did to @britishairways ) and expect a response.",,@SouthwestAir @britishairways,,"1025360734572691456",https://twitter.com/BruceRFeldman/status/1025360734572691456
Sarah Kendzior,sarahkendzior,2018-08-03 09:36,800,2294,"Horrible @SouthwestAir (which nearly crashed yesterday in Baltimore) canceled my flight without giving a reason, reschedule or refund, leaving me and my children stranded. They won't tell any customers what's happening. It's unsettling to see how out of control they are.",,@SouthwestAir,,"1025359746147250181",https://twitter.com/sarahkendzior/status/1025359746147250181
Mum On A Mission,MumsMissions,2018-08-03 06:09,3,14,"Hang on. That’s literally a table. Would you wanna lay on that? And how the hell is anyone gonna lift an adult onto it? Have you got a hoist too? Otherwise it’s a half job which isn’t really useful to many at all. The U.K. does it properly. Time USA caught up. @bucksamandy pic.twitter.com/CSHr6JYt8N",,@bucksamandy,,"1025307746718175232",https://twitter.com/MumsMissions/status/1025307746718175232
Liz Kuhlkin 🦋,liz_kuhlkin24,2018-08-03 00:32,1,28,"Want to give a shoutout to the pilots on @SouthwestAir ’s flight 2028 for landing us safely in TPA tonight despite many storms around us. #PilotWins #GratefulForThem #Mastery",,@SouthwestAir,#PilotWins #GratefulForThem #Mastery,"1025222797646290945",https://twitter.com/liz_kuhlkin24/status/1025222797646290945
Linda Fox 10,lindawfox10,2018-08-03 00:02,4,18,"Lol! @SouthwestAir coming through with the #Haboob Humor! #FOX10Phoenix #azwx https:// twitter.com/SouthwestAir/s tatus/1025198351673745408 …",,@SouthwestAir,#Haboob #FOX10Phoenix #azwx,"1025215184095178752",https://twitter.com/lindawfox10/status/1025215184095178752
Tilian,tilianpearson,2018-08-02 23:57,6,163,"Good response! But I haven’t gotten one from the dm",,,,"1025214152992808967",https://twitter.com/tilianpearson/status/1025214152992808967
Tilian,tilianpearson,2018-08-02 23:03,12,161,"Noooo I’m always worried when I have to rush to a connecting flight that my bag won’t make it. Why @SouthwestAir why?",,@SouthwestAir,,"1025200437702615041",https://twitter.com/tilianpearson/status/1025200437702615041
Anthony Rodriguez,Arod_QB4,2018-08-02 22:43,1,19,"Just now was the first time I’ve ever checked in for my flight early enough to get in the A boarding group. Am I finally doing this adulting thing right!? @SouthwestAir",,@SouthwestAir,,"1025195383939641345",https://twitter.com/Arod_QB4/status/1025195383939641345
Randy Howell,AZsteelman,2018-08-02 22:39,43,82,"Hey @SouthwestAir check out what we raced in PHX! #haboob #azmonsoon @lindawfox10 pic.twitter.com/wuMJAXSf0b",,@SouthwestAir @lindawfox10,#haboob #azmonsoon,"1025194406335238144",https://twitter.com/AZsteelman/status/1025194406335238144
Christine A. Merrill,cestchristine,2018-08-02 20:02,0,12,"a real highlight of constantly flying @SouthwestAir is that they constantly send me drink coupons as thanks and now i basically get to have a free glass of wine on every flight",,@SouthwestAir,,"1025154891721965568",https://twitter.com/cestchristine/status/1025154891721965568
Sarah Elizabeth Graham,seg_inthecity,2018-08-02 19:36,3,39,"Anyone else thinking @SouthwestAir should sign a marketing deal with @photographerjon ASAP?! #OneTeam #Inspired",,@SouthwestAir @photographerjon,#OneTeam #Inspired,"1025148470011691008",https://twitter.com/seg_inthecity/status/1025148470011691008
Randall King,RandallKingBand,2018-08-02 18:51,7,92,"Ha! The pilot for my @SouthwestAir flight just let my ole Gibson fly first class, ridin with him in the cockpit. Only thing he asked was, "Is it in tune?"",,@SouthwestAir,,"1025137145672028160",https://twitter.com/RandallKingBand/status/1025137145672028160
